feature_names,PC1,PC2,PC3,PC4,PC5,PC6,cluster
modern hardcore,0.002914358783146619,0.005632058002838616,-0.0015171219008078998,-0.0025884998000945216,-0.014462235217486484,0.00824483600595915,0
midwest emo,-0.0006788311297510402,0.0020459167356161405,-0.001443573978917713,-0.001043086009736263,-0.006349804529817241,0.003901992485972074,0
atlanta indie,0.002819300582394411,0.0021202559881330655,-0.006117901395685436,0.0030986734284734834,0.002183862844758879,0.011611204521081634,0
uk dance,-0.0038114688404173955,0.0006150783313325153,0.004082838597100934,0.003232458831229143,0.004423340729813709,-0.002910683796642838,0
jazz house,-0.0003682583947489642,0.00017792321817183764,0.0005962641621733319,0.0003731124989567643,0.0007827310955763398,0.0002615116794181399,0
gbvfi,0.01547026443161933,0.0008756837637054337,0.0009455033198461087,-0.02125892966351184,-0.017832940223554573,0.005383977518493757,0
power pop,0.004418953971156946,-0.01085086860401902,0.0031927946771565865,0.0015245313788366413,-0.00879822307526087,0.003497638842744155,0
lo-fi indie,0.00244440505423339,0.0045107447005616015,-0.0136568738626596,-0.0043995636288581465,-0.03235595948089924,0.026326190684786373,0
triangle indie,0.0012136113103785573,-0.00013070272246340096,0.0011836070039015717,-0.0021707369899317923,-0.006677355892288742,0.0018488217103919949,0
alternative pop,0.006921983279171144,-0.004187298273176005,0.0012858726525731068,-0.0002087179198363484,-0.007394120183908841,0.0033619155984121745,0
post-hardcore,0.0016661972954919485,0.00021347245503567549,0.002242992107749529,-0.0029512027592837457,-0.007860264364721573,0.0021982739637602723,0
chapel hill sound,0.0015864549647960262,-0.0014496704519336974,0.001274132192017644,-0.0019902798905117067,-0.005517016251161729,0.003958079781505037,0
alternative country,0.1135905187747275,-0.04809688416473858,-0.11733920228629066,-0.07740712727042277,0.06947774905733776,-0.10599295239237541,0
pennsylvania shoegaze,-0.0014608412606672689,0.004334989775529493,-0.0044777282720849035,-0.0023470538686569957,-0.013972794259709253,0.011324583474962442,0
pop folk,0.005361643644111177,-0.008335150668539026,-0.0130462682404327,-0.0031338773083040435,0.009488663899405616,-0.010086846737403074,0
roots rock,0.06163996452508517,-0.05646082632100146,-0.06418653588354914,-0.020155860600632264,0.02793584556786518,-0.03362870808235429,0
